,0,1,2
0,2,49분 전,"[['서울앵무새'], '퀸아망맛집']"
1,0,53분 전,"[['고집132성수본점\n.\n.\n.\n', '성수동맛집고집132 ', '성수동맛집 ', '성수맛집 ', '뚝섬맛집 ', '서울숲맛집 ', '한양대맛집 ', '성수동핫플레이스 ', '성수동데이트 ', '성수동술집 ', '성수동밥집 ', '성수동고기집 '], '고집132']"
2,0,53분 전,"[[], '가장 먼저 ']"
3,37,54분 전,"[['해방촌 에서 맛있는 비건 요리를 선보이는 ', '바이두부 @bytofu_hbc 사장님께서 반려견 모모의 생일을 맞아 ', '헤이보울 ', '스무디볼 과 함께 ', '피크닉 을 즐기셨다며 이렇게 사진을 보내주셨어요 🐶\n\n일부러 헤이보울 스무디볼이랑 피크닉하시기위해 ', '잠원한강공원 까지 가셨다고해요 🥺\U0001f90d🙏🏻 다시 한 번 감사합니다, 사장님 !!\n\n🛵 헤이보울 강남 익스프레스 점에서는 ', '잠원한강공원 ', '반포한강공원 모두 배달 가능해요! 날 개이는 날에 맞춰 헤이보울 스무디볼과 함께 피크닉을 즐겨보세요.\n\n📍바이두부 @bytofu_hbc 는 최대한 식물성 재료만을 사용하여 두부를 중심으로 맛있는 비건 요리를 선보이고 있는 곳이에요! 아직도 바이두부에서 두부강정을 먹었던 그 첫 입을 잊지 못한다고 해야할까요 😶 논비건인 친구들과 함께해도 좋을 '], '비건맛집 으로 마음 담아 추천하는 곳입니다! 전메뉴 다 먹어보았는데 전메뉴 다 맛있다는게 함정 🌝 모모야 다시 한 번 생일 축하해 (속닥속닥)']"
4,2,1시간 전,"[[], '좋아요 2개']"
5,12,1시간 전,"[[], '좋아요 12개']"
6,27,이 게시물에 대한 댓글 기능이 제한되었습니다.,"[['성수동맛집 ', '성수맛집 ', '뚝섬맛집 ', '서울숲맛집 ', '난포 ', '한식맛집 ', 'instalike ', 'like4follow ', 'followgram ', '좋아요스타그램 ', '뚝섬역맛집 ', 'followmeto ', '연남맛집 ', '좋반 ', '성수맛집추천 ', '소통스타그램 ', '좋아요스타그램 ', '맛집추천 '], '팔로우반사']"
7,0,1시간 전,"[['고집132성수본점\n여기 진짜 다 맛있다고,,,ㅠㅠㅠㅠ🧡\n모던한 분위기도 취향 제대로 저격해버림!!💘💘\n', '고집132성수본점\n.\n.\n.\n', '성수동맛집고집132 ', '성수동맛집 ', '성수맛집 ', '뚝섬맛집 ', '서울숲맛집 ', '한양대맛집 ', '성수동핫플레이스 ', '성수동데이트 ', '성수동술집 ', '성수동밥집 ', '성수동고기집 '], '고집132']"
8,0,1시간 전,"[['성수동맛집\n', '화화담\n음식들이 너무너무 정성 스럽다..\n.\n.\n.\n.\n.\n', '성수동오육쌀국수', '화화담성수', '성수양전쌀국수', '성수맛집', '또가고싶은곳', '성수맛집화화담', '서울숲맛집', '인생베스트맛집', '성수동맛집'], '성수동맛집인정']"
9,1,1시간 전,"[['성수동맛집 ', '중앙감속기\n\n', '추천메뉴\n\n', '발사믹꿔바로우\n발사믹과 올리브와의 만남! 냄새없는 고기 맛있는 소스! 양도 생각보다 많아서 좋았음🙂\n', '새우바질춘권 인가 ', '바질새우춘권 인가 요거요거 ', '색다른맛\n바삭한 춘권을 한 입 베어물면 향긋한 바질과 새우를 만날 수 있다! 비싼감은 있으나 맛은 최고고🙂\n\n둘이서 발사믹꿔바로우랑 새우바질춘권이랑 각각 ', '하우스와인 '], '한잔']"
10,128,1시간 전,"[['권식족발', '성수동맛집', '뚝섬맛집', '성수맛집', '성수족발', '성수동족발', '먹팔', '성수동핫플 ', '성수역맛집추천 ', '서울숲고기집 ', '뚝섬역데이트코스 ', '성수배달 ', '뚝섬족발 ', '성수데이트장소 ', '먹팔소통 '], '족발맛집찾음']"
11,25,1시간 전,"[['레드브릭스모크하우스 ', '레드브릭플래터 ', '서울숲 ', '서울숲맛집 ', '텍사스바베큐 ', '성수동 ', '성수동맛집 ', '먹스타그램 ', 'jmt ', '뚝섬역 ', '성수역 ', '뚝섬한강공원 ', '뚝섬유원지역 ', '뚝섬구길 ', '맞팔 ', '선팔 ', '먹스타 ', '성수동데이트 '], '성수동핫플레이스']"
12,158,1시간 전,"[['무식당', '성수맛집', '성수동맛집', '뚝섬역맛집', '서울숲맛집', '먹팔', '성수핫플 ', '성동구소고기 ', '성수동맛집추천 ', '성수한우 ', '서울숲소고기 ', '뚝섬역핫플 '], '짝갈빗살']"
13,1,1시간 전,"[['성수동맛집 ', '진짜솥뚜껑삼겹살갈비 📍\n\n인스타에서 맛집이라고 뜨는데\n바로 앞에 있어서 가보기🌝\n\n삼겹살&갈비집인데\n낮에가서 부대찌개 먹고왔다🙃\n\n요즘 체인점 부대찌개만먹다가\n요런 손맛 부대찌개먹으니\n넘넘 갈칠맛나고 좋았다\n\n라면사리는 필수✔️\n추가안해도 넣어주시는 서비스☺️\n반찬두 넘넘 맛났고\n밥에 살살 말아먹는데 넘 꿀맛✨\n\n얼음물을 옆테이블이랑 사이좋게\n나눠먹는 이색 식당이었다 ㅋㅋㅋ\n\n아무래도 노포맛집이라\n완벽클린한 느낌은 아니지만\n엄마손맛 구수한 부대찌개 먹고싶다면\n가볼만한 성수동 맛집✔️\n\n', '성수동맛집 ', '한입만맛집 ✨\n', '성수 ', '성수맛집 ', '성수맛집추천 ', '진짜솥뚜껑삼겹살갈비 ', '부대찌개 ', '부대찌개맛집 '], '😋']"
14,8,1시간 전,"[[], 'wearesoulmate']"
15,41,1시간 전,"[[], '좋아요 41개']"
16,539,1시간 전,"[['성수동', '뚝도시장', '서울맛집', '서울숲', '밥집언니\n', '다이어트', '일상', '서울숲맛집', '소통', '맞팔', '좋아요\n', '운동하는여자', 'food', 'instafood', '데이트', '맛집\n', '먹팔해요', '배달맛집', 'love', 'daily', 'good', '좋아요반사\n', '성수동맛집', 'instadaily', '운동', 'instagood', 'happy\n', '먹팔', 'cook'], '먹스타그램']"
17,12,1시간 전,"[[], '좋아요 12개']"
18,24,1시간 전,"[['개군할머니토종순대국\n', '화양식당\n1시간\ny__je_\n', '건대맛집 ', '건대술집 ', '건대입구맛집 ', '건대맛집추천 ', '화양동맛집 ', '자양동맛집 ', '성수동맛집 ', '성수맛집 ', '양평맛집 ', '양평여행 ', '먹방 ', '먹스타그램 ', '먹팔 ', '먹스타맞팔 ', '국밥 ', '국밥맛집 ', '국밥충 ', '술스타그램 ', '하이볼맛집 ', '술안주 '], '술스타']"
19,8,1시간 전,"[[], '좋아요 8개']"
