,period,홍대,연남,이태원,종로,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
0,2016-01-01,1419690.3741890632,728838.954473496,732755.2922765174,689923.3924721451,68966.14228188386,77656.73069930344,97072.54591434685,165664.52748831955,974687.6986468906,395787.0941819194,123203.45212360854,49824.987135320385,252716.47237401133,963300.8733646421,568654.8275920568,972609.9747162233
1,2016-01-02,1390047.2717242874,773850.5111498869,777932.4898681043,822408.7186503729,88852.09255745563,82564.52751456821,112279.57854217968,202673.40467398253,1076258.4321005396,402495.8506667449,141394.34611410878,51694.93222753605,286556.77314075927,1013147.5819929331,642577.2929586272,1064300.5055814614
2,2016-01-03,1054591.1784186854,685863.9401872981,596222.2600911309,767444.9591750063,61471.13129220544,77327.51651867175,93105.51796382296,168109.65417943292,965947.1239189034,328369.9991939802,105736.55221894119,43189.69483409717,248343.1695189179,819646.5650502937,593185.2544581855,1038068.5433638572
3,2016-01-04,1070735.5520299156,696285.7719462093,564183.1173581079,693959.0984572523,69903.04529536545,81247.78732803458,83879.09553377274,179248.53500979437,920647.1352954481,269278.9524547544,88148.97416010743,37217.93288737625,262729.8253568961,763373.909491352,682849.2925077828,1209575.5594447155
4,2016-01-05,1162371.2253351198,646512.5583046108,600015.2767189391,688809.0718526401,90574.76227921485,90644.375795215,103534.05332115476,218068.60726804522,943613.5923731071,275268.9406517578,104077.3305030059,47291.51168860244,325343.4377996005,688694.042147719,734348.2395351933,1180708.3144551446
5,2016-01-06,1106962.8442321846,689787.0527386236,668281.7928116323,639688.0831084775,109554.0368023458,95522.28112823835,123729.9472900943,214083.95142211244,1079995.793932671,270027.7009793798,116536.44249580413,52237.81661074711,291050.70119455084,891894.1533952319,733836.5016144468,1209969.2679756163
6,2016-01-07,1008953.6419411761,716200.9696207538,648924.0900763703,850236.9704513524,103660.78649026346,96988.59526197224,130011.1101125626,196454.93267644488,1107151.6823704524,271674.972980071,95660.65602791111,52901.3469652494,283269.253662264,891293.5890680347,707650.605987806,1331375.176479846
7,2016-01-08,1458984.4134424552,650884.8910776587,736699.6490570538,731454.9819271578,114903.30297478108,91572.0605686375,129139.56929623285,170856.64671597758,989034.1046780193,262390.50389797334,106008.06871091986,53082.31592218625,289391.85678095283,827543.9663735754,668251.4506645214,1257253.3231328696
8,2016-01-09,1616761.2056897678,501295.79540488095,761366.3643500255,735701.4193577927,105141.67364339209,90165.58766738305,146600.6002520166,165785.2827219052,1113933.0072170687,322380.01099697687,129779.9437808925,61316.105502119724,278081.6393727744,909100.2365255288,819045.9850733571,1727186.1260200518
9,2016-01-10,1216366.3599592422,462812.9059508571,724957.3828070812,736755.5309928611,74526.96376190896,97976.17953587073,142873.9883821849,179308.8903880543,844906.1068934422,295365.2929857191,117531.99049319839,52720.3892521123,289512.5341757559,836882.6698704961,788255.0170105095,1095045.5969595567
10,2016-01-11,1187985.9067449644,553225.1887256964,610573.6305741398,694501.2065208957,92750.73435749878,88968.58821380486,108913.62331720679,167505.92248857027,905577.3052488366,224923.223662475,87545.62080885825,45542.21256767801,230186.44121154683,874237.6143872655,907656.5119744189,1115279.915043595
11,2016-01-12,1219132.3509736145,585299.2804015302,581932.2904700859,693416.9903936089,103781.6955344266,99562.17613456346,127456.55915992595,168109.65417943292,881556.0192725306,288566.6589067718,96807.00494353498,51182.203715247924,256727.8474369054,839675.3396771438,745936.1795484701,1276397.2118901848
12,2016-01-13,1109879.2132649324,444604.667733807,660604.9554643789,612522.3573400147,110158.47546407442,83731.5772179084,101430.31504363648,173090.46286758242,887885.274591155,247355.6991644344,114786.74022893107,49010.654938603926,251087.79730911407,828594.9865784424,765199.3919822283,1253618.4958578837
