,0
0,"좋아요 93개
h2e_eat
#협찬 #dyscoffee #성수역카페

안녕하세요 오랜만에 왔습니다아ᜊ( ' ⩊ '𖦹)ᜊ 오늘은 #핸드드립카페 를 소개하려고 합니다💓 매장 인테리어가 엄청 깔끔하고 낭낭해요 ⸝⸝• ̫•⸝⸝ 전 약간 조명덕후에서 사진처럼 아예 저렇게 한 쪽벽이 다 조명이면 환장합니다∠( ᐛ 」∠)＿

제가 마신 건 #과테말라엘린콘 입니다! 사실 이름이 넘 어려워서 뭐가 뭔진 모르겠지만 ㅎㅎㅎ 마지막에 적힌 초코퍼지, 카라멜 단맛이 무슨 맛인줄 알겠더라고요 ๑◕‿‿◕๑ 끝맛에 묘하게 달더라고요☕️

그리고 한쪽에 있는 굿즈 보는 재미도 쏠쏠했습니다✨
2일
shl_20233
오오❤️
2일답글 달기
답글 보기(1개)
h2e_eat
💗
2일답글 달기
답글 보기(1개)
jens_foodsta
오모나 커피 종류가 정말 다양해보이네요❤️ 유리병도 넘 이쁘고 특색있어뇨..
2일답글 달기
muk_dal
오랜만이에오 희희님(▰˘◡˘▰) 기다렸어요 반가워요❤️ 커피두 잘 못먹는 어린이 입맛인데 마지막에 달달한 맛이 나는 커피면 넘모 궁금해요 꺄아 분위기도 저쿠!!!
1일답글 달기
2일 전
게시"
1,"좋아요 72개
bibi_4000
제스티살룬🍔🍔🍔🍔🍔
.
아 너무 맛있어요 요기!!
이영자맛집이라서 웨이팅많을땐 안가고
요근래갔더니 그닥 많지는 않더라구요😊
.
수제버거 좋아하는 분들
완전추천이용🤗
.
#수제버거#수제버거맛집#수제버거🍔#수제버거추천#성수맛집#성수동맛집
#제스티살룬#이영자맛집#냠냠냠#서울맛집#먹스타그램
2일
gjehddl__.__
팔로우했는데 맞팔해주세요
2일답글 달기
s_yu__j
방송타면 저도 바로 안가고 뜸해질즘 뒷북방문 좋아한다며😆 역시 맛잇어보여용
2일답글 달기
hojin4666
우와 ^^
2일답글 달기
sseo_wal
수제버거 대박,, 비쥬얼 미텼네여😍❤️
1일답글 달기
lind.sy_kj
비주얼 장난아니네요😍😍❤️버거는 역시 수제버거죠❤️❤️
1일답글 달기
gain._.ground
어우 대박 진짜 ☺️ 이 밤에 야식 유혹,, 선팔하고 가요 소통하며지내요💚
1일답글 달기
hfairyy
와 성수 가면 가봐야겠어요!!!
1일답글 달기
luvumj_
와..와…여기 완전 저장이요😍
1일답글 달기
j.___.seon
우아!! 비쥬얼 대박🔥🔥 수제버거 너무 맛있어보요용🥺💛
1일답글 달기
dda.y0ng
이영자 맛집은 믿고먹는곳....👍🏻👍🏻 오늘도 햄버거 먹을까봐요....😢
22시간답글 달기
honeyb_daily
패티 넘쳐흐르네요😍😍
1시간답글 달기
2일 전
게시"
2,"좋아요 27개
seongsu_19
안녕하세요 성수일구입니다

27일 월요일은 병원 검진때문에
점심 장사를 못할거같습니다ㅜㅜ

5시에 이자카야는 오픈합니다!

감사합니다!!

📍위치정보 서울특별시 성동구 성덕정17길 3-1 1층 성수일구

🙋‍♂️ 문의전화 02 6407 5359

🕰 영업시간
카이센동 11:00~15:00
이자카야 17:00~22:00
2일
seongsu_19
👏
2일답글 달기
답글 보기(1개)
2일 전
게시"
3,"좋아요 59개
nol_ding
저기압일 땐 고기앞으로!!!!
스테이크덮밥은 실패할 수 없지ㅋㅋㅋ

원하는 음식점이 그날 문을 닫아서
아무데나 간건데 나쁘지 않군요~~

#놀딩_맛집 #성수맛집 #미도인
2일
nol_ding
👏
2일답글 달기
답글 보기(1개)
gom_ggo_eating
고기 넘나 맛있어보여용 😍❤️ 선팔하고 갑니다 먹팔해용 🙌🙌❤️❤️
2일좋아요 1개답글 달기
답글 보기(1개)
yeon_.food
선팔했어요 먹팔하고지내요😍😍
2일좋아요 1개답글 달기
답글 보기(1개)
drinking_match
너무 맛있어보여요👏 먹팔하고 소통할까요? 선팔주시면 바로 맞팔할께요🙌
2일답글 달기
ggurii_road
선팔하고갑니다🥰 먹팔해요🧡🧡
2일답글 달기
mureung._.dowon
미도인 궁금했는데 ㅎㅎ 나쁘지 않았군용!!✨✨
2일답글 달기
food__ab_c
맞팔와써요옹ㅎㅎㅎ마자요 저기압일땐 무조건 꼬기죠❤️
10시간답글 달기
2일 전
게시"
4,"좋아요 34개
muk_shin0ne
하트시그널 김현우가 차린 레스토랑
맛이 없진않지만 비싸고 가성비가 너무 떨어지는 음식퀄리티 파스타면 오뚜기꺼 맞죠?
낮에오면 서울숲뷰가 너무 이쁠거같지만 저녁에 오면 그걸 못봄
화장실이 너무 더러움

#아치 #archi #서울숲맛집 #서울숲역맛집 #성수동맛집 #성수맛집 #먹스타그램 #먹신원_성수
2일
masit_ccr
잘보고갑니다! 먹팔해요🙌
2일답글 달기
zooje_365
먹신원 거의 맛집 저격수인가요? ㄷ ㄷ 날카로와라
2일답글 달기
답글 보기(1개)
sofilledwith
어디 또 대충 만드는데 있나? 🔫
2일답글 달기
답글 보기(1개)
2일 전
게시"
5,"좋아요 5개
jenaleeis
.
#할머니의레시피#서울숲맛집#kfood
#한식맛집#집밥#깔끔#성수동맛집#성수맛집
#쌈밥#쌈밥정식#숨뼈국
2일
2일 전
게시"
6,"좋아요 24개
wearesoulmate__
안녕하세요! 연남동 디저트카페 위아소울메이트입니다•◡•♥︎ 저희 2호점에서 홀직원을 모집 중입니다. Dm을 통해 연락주시거나 알바몬을 통해 지원해주시면 검토 후 연락드리겠습니다아☕

[근무스케쥴]
근무요일 : 주6일(화-일)

화-금 14:30~19:30 (5시간)
토 13:30-22:30 (마감까지 / 휴게시간 1시간)
일 13:30-18:30 (5시간)

[지원방법]
-간단한 자기소개와 함께 가능한 공개된 인스타그램 아이디도 남겨주시면 감사하겠습니다 ! 확인 후 면접일정 안내드릴게요:)
-dm 또는 알바몬 지원
2일
wearesoulmate__
#wearesoulmate
2일답글 달기
답글 보기(1개)
x_h_yoi
내년까지 비었으면 하고싶땅 .. @_xx_b__ 나 뜬금없이 카페 직원 하고싶어
1일답글 달기
2일 전
게시"
7,"좋아요 11개
dada_diary94
성수다락 ☺

웨이팅이 길다는 단점빼고는 음식이나 분위기도 너무 좋아요 🥰🥰
.
.
.
.
.


#foodstagram
#foodie #food #음식 #음식스타그램 #음식사진올리기 #음식사진 #먹방 #먹부림 #파스타맛집 #성수맛집 #성수동맛집 #서울맛집 #서울여행 #인싹크루
2일
2일 전
게시"
8,"좋아요 165개
marsilda_muskaikj
영양왕족발!
콜라겐이 가득 들어있는거 보세요!!

야들야들 하면서 쫄깃해 보이지 않나용!

근데 진짜 한입 먹어보면 식감이 장난아니에요~~!

포장과 배달이 가능하니
집에서도 편하게 즐길 수 있어서
더 좋은거 같아욤><
#권식족발#성수동맛집#뚝섬맛집#성수맛집#성수족발#성수동족발#먹팔#성수동핫플투어 #성수데이트코스추천 #뚝섬배달맛집 #매운족발반반 #성수동핫플레이스투어 #프로먹방러
2일
gimun4953
⭐⭐⭐Magnificent👌 ⭐⭐⭐
2일답글 달기
handsyshop
Thx for inspiring us all 💪🏻
2일답글 달기
nojoeylo
Keep it up 😉
2일답글 달기
2일 전
게시"
9,"좋아요 138개
ksj3098bv
친구생일이라 무화살에서
고기 먹고 왔어여ㅎㅎㅎ

여기 친구랑 제가 젤 좋아하는 고기집이에요!

여기서 안창살이랑 짝갈빗살! 진짜 꼭 드셔보세요! 존맛...♡

술 땡기는 맛이라 술까지 과음해버린^^;;

정말 찐맛집!
무화살로 모두 GOGO!!!
#무식당#성수맛집#성수동맛집#뚝섬역맛집#서울숲맛집#먹팔#성수회식 #성동구술집 #성수고기 #서울숲소고기 #서울숲역데이트 #서울숲고기 #안창살
2일
nojoeylo
My beautiful babe omg 😯
2일답글 달기
msind.i
So innocent yrrr
2일답글 달기
handsyshop
So vogue 💯
2일답글 달기
2일 전
게시"
