period,홍대,연남,이태원,종로,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
1,22964.65216889671,9731.493275362072,11751.423592236984,13419.831182199267,3984.2471838522806,4440.367122724519,3182.214053974967,3542.3124370317723,12658.224084902946,4453.229938116367,2749.646600436613,1367.657415201711,4336.105553413709,11637.233909392018,10802.25872444682,22095.22559868201
2,21884.558305687195,9880.437920263763,12185.66146338564,12486.876429323647,4246.07203335103,5305.910538029568,3618.060379925482,3764.1811994655477,11951.146095303007,4813.435999980797,3121.751198154762,1400.2135475269802,4481.120336588759,10579.044783408934,9758.54842792481,20754.106483929143
3,17484.59452933865,9612.96809875808,11611.87901514362,12403.062229924175,4461.96360877266,6213.463003773574,3741.8741097212414,3837.0328035465027,10041.183010193026,4891.539174792394,3272.1335140925844,1397.124475193282,4883.202966582582,9593.503339948842,8358.253897649407,15801.662801954328
4,19613.5713815178,9444.91319309174,11896.377209094439,12269.802343999703,4608.136773148769,7023.646665176771,3924.0963829307952,3979.4489959350226,11944.596977474854,5505.720049674403,3725.6152444807017,1434.208039900166,5214.391091349225,9223.469468660527,8709.05308707994,19428.697543823826
5,20391.824084432657,9683.201574651479,11881.618342144362,13332.628804242915,4822.989358374124,7294.449223413978,3967.9824830493603,4111.276123574779,12136.590440422648,6090.304597977012,4201.583190178371,1510.6872757973115,5150.047386357993,11015.734860738907,8502.397221625186,20428.042445055373
6,16552.801916676948,8730.78481751067,9913.944618103127,10588.80421238953,4730.471443167435,6617.169712700563,3482.6333342126827,3553.9670361682797,9574.017170275269,4200.5095890960665,3453.109291280044,1522.077684423929,4097.7228694421065,7956.922811796794,6815.775258409003,17095.904674083973
7,16649.93760808062,8492.391599339606,9286.66191134616,10269.552289908794,4553.054922001672,5869.513555444459,3564.5344152614157,3375.4909689751034,9463.075111955322,3867.3869515832384,3257.6818270671997,1354.1819504994078,3672.37446304596,7687.861436757319,6976.497569208332,17206.19049720409
8,16588.744791826382,8292.434394553715,9481.205144004047,10023.562210197146,4409.98594701691,5897.647124420382,3583.0210958928187,3335.051841925263,9004.900411795412,4031.8666758932045,3288.4195862036304,1364.252186465188,3655.7116451695815,7635.103269061568,6486.771632245931,15865.400591680174
9,13596.759276591965,7429.608406001817,8520.22864005397,8847.580083662879,3906.8221002335235,5962.11433346299,3111.684316309908,2895.40913777616,7610.239320156984,4690.838162088734,3296.126856986525,1233.1136568092286,3196.016378154319,6377.31897449231,5606.289467281455,12762.338188658476
10,15466.841627774593,8382.457540673915,10413.303611630312,10197.253409971348,4198.007358443817,5709.36377026319,3226.3202689268996,3052.0177378641692,8470.76807788408,5733.190796324613,3502.224188792261,1230.4236420748175,3401.8105434079694,7386.278778523273,6135.09223259761,14250.298095595354
11,15651.275265147515,8098.88907350806,12733.304282691495,10355.794324011931,4541.045496632816,5281.098048941346,3229.8310362634024,3288.398157271954,8651.373074966532,4683.9331365068165,3107.576315638704,1295.4759605010502,3499.541508972745,8230.268137905292,6573.285766698112,15751.507228601253
12,17586.27553517662,7902.806693460696,10528.057267421473,10824.648087033022,4139.049633968433,4217.980618497159,3180.5279959695804,3292.7523943971873,8706.374191991377,3479.3305196188294,2639.7936138151313,1334.4518801769332,3591.7256709030985,9623.808873750102,7258.092008318423,17320.47963434948
