period,홍대,연남,이태원,익선,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
2016-01-01,47514.094171395016,24403.184822667983,26406.03412647163,23092.369742388346,2298.1627114005832,2597.6507452700043,3246.1429525495428,5517.588968080567,32520.898314278234,13240.711696348113,4134.790211032539,1658.0472928135398,8432.400709753945,32318.87792539579,18943.522073448625,32382.20117235367
2016-01-02,46522.00097442015,25910.274049976717,28032.802158415932,27526.775316876934,2960.82337200839,2761.8186408278407,3754.6719226003293,6750.199084299081,35909.85202626045,13465.14728750903,4745.288773413634,1720.2742511354268,9561.551388074182,33991.24191434724,21406.091256805594,35434.957460345
2016-01-03,35294.980845615624,22964.283663576578,21049.91196717911,25687.087794920484,2048.4060306859483,2586.6383905910166,3113.4840251168284,5599.025859013043,32229.265063615658,10985.331641610095,3548.5893741400446,1437.2418482041876,8286.476537289707,27499.25595448208,19760.70089663271,34561.587147724174
2016-01-04,35835.299567252616,23313.23027934464,19710.638719112183,23227.44852910078,2329.383184208554,2717.773120290537,2804.948940696774,5970.015152364933,30717.810342573714,9008.492262027155,2958.338497724046,1238.516985472241,8766.516661938223,25611.300554633865,22747.666981453498,40271.76372577219
2016-01-05,38902.15561561435,21646.70995375159,20985.122604288106,23055.07240758575,3018.227993865075,3032.0930100793776,3462.218224233091,7262.948562308818,31484.096627194573,9208.882087635253,3492.904784213954,1573.739752614247,10855.747589555489,23105.780646057996,24463.24450306555,39310.6539707374
2016-01-06,37047.75194741084,23095.638388900337,23218.276576052514,21410.94778944897,3650.675446416762,3195.2610228141484,4137.57661995867,7130.236427306552,36034.550803391976,9033.540990228168,3911.040911230063,1738.3400457025016,9711.500466400556,29923.17256525883,24446.197046283145,40284.87190806758
2016-01-07,33767.58709457926,23980.036364075597,22910.540840522735,28458.21246900748,3454.2943285514066,3244.3098556454274,4347.621099970172,6543.08792410004,36940.6193705289,9088.64903687052,3210.4355625386256,1760.4206275799074,9451.856593257773,29903.02354877425,23573.869814108217,44326.975788241536
2016-01-08,48829.18421877709,21793.105593161363,26260.262639367702,24482.470194335194,3828.9293496233586,3063.1244612022383,4318.4764427229575,5690.51663223308,32999.57267567767,8778.045229478033,3557.7016491113736,1766.442808545404,9656.149738055892,27764.214864364003,22261.371032198116,41859.153301586695
2016-01-09,54109.646424616556,16784.52265895802,27781.75940511619,24624.60235611734,3503.642016018136,3016.0773431064144,4902.379976389212,5521.610817264408,37166.88135791117,10784.941816002001,4355.501667235837,2040.4421271107522,9278.761258372433,30500.439041017315,27284.769150921988,57505.15627931755
2016-01-10,40709.260853468164,15496.028049699324,25848.244788220596,24659.884440900016,2483.4662842452844,3277.3449705930666,4777.760654373947,5972.025336284812,28190.676485954835,9881.188009970125,3944.452167516201,1754.3988207791183,9660.176385547566,28077.529662101344,26259.033757746274,36458.58847375134
2016-01-11,39759.42590976059,18523.23678113652,21783.843378814327,23245.5933839971,3090.7380361249643,2976.037201129345,3642.113096320198,5578.918094437919,30214.99860991343,7524.61007977987,2938.0895559327405,1515.527581602691,7680.640252746706,29330.79323231967,30236.639760019098,37132.27245378033
2016-01-12,40801.83283953181,19597.150273795523,20909.196138587453,23209.303674204464,3458.323387558812,3330.397232895255,4262.195941973934,5599.025859013043,29413.517479395276,9653.74564236495,3248.9077984463806,1703.211966313581,8566.24842300224,28171.22412149879,24849.27199597692,42496.53238783492
2016-01-13,37145.35677405459,14886.374847467803,23548.28651720159,20501.685992254577,3670.8171905792233,2800.8569508925207,3391.8684140035293,5764.915657429854,29624.695961392983,8275.068963162037,3852.319733531002,1630.9484138805738,8378.0566432822,27799.476738029265,25490.984810567163,41738.134896362455
2016-01-14,38575.14569844721,20001.24690787896,26341.244763580627,19888.79142581957,3857.128028175776,2655.7102180448155,3187.8536380551145,6275.653470175629,31405.659577210703,8547.598196928911,4108.466837869084,1541.6225766257207,9018.108981727195,28448.269813710092,25019.72761376011,40668.10418212029
2016-01-15,41401.51853780749,20142.628909260064,25640.72466037435,24159.893306241287,3568.09512388807,3049.1105089647303,3662.212109863822,6624.524815032517,26325.241477338033,9413.279540835485,4063.91891476297,1575.7471462694123,9476.009511689661,23533.94615153815,22105.954166863256,44027.446289353786
2016-01-16,46860.07433706074,19622.218463938876,27828.322752718374,28106.403048549182,3436.167113892648,3107.1699817395415,4458.171112504899,6341.004445716823,29508.04454245073,11911.129510899034,4294.75484186192,1876.8453437677265,9981.209216642981,30180.069240985544,28266.385058903383,41466.84323462253
2016-01-17,40884.33914443527,19217.119102249708,63734.87342152323,21227.480188107333,3174.325623405508,2975.0353692169556,4158.681671788434,5694.537000072839,31986.908359854857,10158.725722477013,3695.392946300801,1509.5054006371945,8458.566951931669,27314.893110538484,25442.85549672105,35801.044884853305
2016-01-18,35446.91247181567,14973.609558139264,20665.24229776688,23308.092751124255,3099.801051641916,2554.60705664509,3232.0736430690054,5021.931238094093,31599.746241756744,6957.5096604893715,2684.9802951938377,1423.1908409474433,7235.822843873103,24211.95770971955,22851.945266449307,36201.42200845041
2016-01-19,33744.4477663145,12816.760615397052,18099.037662704704,18763.810422247796,3663.767520941119,2777.834307800804,3009.96866732237,5406.996262917387,24995.804735211714,6848.298641353172,2481.4811930088763,1616.8970324591223,7180.47211552844,24140.43110979721,27115.317885305834,38195.240569803
2016-01-20,35756.81366561139,15973.321207973946,19312.798692923414,21109.53863128126,3752.391431980919,2748.804571413398,3029.063817797772,5889.584094064438,28603.988990687852,7382.335077258384,2389.350014849886,1547.6447575912173,7192.548574744382,25023.961760267564,28775.743207918873,41135.045509203024
2016-01-21,42518.3836294554,15081.904139558546,19203.460918793815,21235.544990545535,3272.0125499622595,2905.96549085248,3443.123073757689,6079.602024896132,29774.53391416543,7883.307529778311,2488.5678203053494,1595.820334491653,8819.85406653705,22526.49970657795,32741.3197242363,40613.643702516594
2016-01-22,43219.69455763706,16598.01532429148,22550.160313093398,20243.627523666277,3634.562761261706,2913.9723497943,3448.1478271435954,6544.093756732022,27357.01532929351,8359.231254097227,2626.259117494777,1772.4646153461933,8949.676873923208,20660.70778693588,36960.572857898514,48259.14797292958
2016-01-23,48358.283481934384,17637.836078355525,24968.560207084753,20639.787653996886,3254.8926000553524,2958.0178703316033,4043.1069058678004,7113.1446792832885,27978.4914962701,10267.938853113525,3405.8358415027906,1761.424511489844,9078.49301943645,24556.50545367903,37900.08177502786,47267.785186055
