홍대,연남,이태원,익선,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
47514.094171395045,24403.18482266798,26406.03412647164,23092.36974238835,2298.162711400583,2597.650745270004,3246.142952549542,5517.588968080566,32520.89831427824,13240.711696348113,4134.79021103254,1658.0472928135405,8432.400709753945,32318.87792539579,18943.52207344863,32382.201172353663
46522.00097442018,25910.274049976713,28032.802158415943,27526.77531687694,2960.8233720083895,2761.81864082784,3754.671922600328,6750.19908429908,35909.85202626046,13465.14728750903,4745.288773413635,1720.2742511354274,9561.551388074182,33991.24191434724,21406.091256805597,35434.957460344995
35294.980845615646,22964.283663576574,21049.91196717912,25687.08779492049,2048.406030685948,2586.638390591016,3113.4840251168275,5599.0258590130425,32229.265063615665,10985.331641610095,3548.5893741400455,1437.2418482041883,8286.476537289707,27499.25595448208,19760.700896632712,34561.58714772417
35835.29956725264,23313.230279344636,19710.63871911219,23227.448529100784,2329.3831842085538,2717.7731202905366,2804.948940696773,5970.015152364932,30717.81034257372,9008.492262027155,2958.3384977240466,1238.5169854722415,8766.516661938223,25611.300554633865,22747.6669814535,40271.76372577218
38902.15561561438,21646.709953751586,20985.122604288117,23055.072407585754,3018.2279938650745,3032.093010079377,3462.2182242330896,7262.948562308817,31484.09662719458,9208.882087635253,3492.904784213955,1573.7397526142477,10855.747589555489,23105.780646057996,24463.244503065554,39310.653970737396
37047.75194741086,23095.638388900334,23218.276576052525,21410.947789448972,3650.675446416761,3195.2610228141475,4137.576619958668,7130.236427306551,36034.55080339198,9033.540990228168,3911.040911230064,1738.3400457025023,9711.500466400556,29923.17256525883,24446.19704628315,40284.87190806757
33767.587094579285,23980.036364075593,22910.540840522746,28458.21246900749,3454.2943285514057,3244.3098556454265,4347.62109997017,6543.087924100039,36940.619370528904,9088.64903687052,3210.4355625386265,1760.4206275799081,9451.856593257773,29903.02354877425,23573.86981410822,44326.97578824153
48829.18421877712,21793.10559316136,26260.262639367713,24482.470194335197,3828.9293496233577,3063.124461202238,4318.476442722956,5690.516632233079,32999.57267567768,8778.045229478033,3557.7016491113745,1766.4428085454047,9656.149738055892,27764.214864364003,22261.37103219812,41859.15330158669
54109.64642461659,16784.522658958016,27781.7594051162,24624.602356117346,3503.642016018135,3016.077343106414,4902.37997638921,5521.610817264407,37166.881357911174,10784.941816002001,4355.501667235838,2040.442127110753,9278.761258372433,30500.439041017315,27284.769150921995,57505.15627931753
40709.26085346819,15496.028049699322,25848.244788220607,24659.884440900023,2483.466284245284,3277.3449705930657,4777.760654373945,5972.025336284811,28190.676485954842,9881.188009970125,3944.452167516202,1754.398820779119,9660.176385547566,28077.529662101344,26259.03375774628,36458.58847375133
39759.42590976062,18523.236781136515,21783.843378814337,23245.593383997104,3090.7380361249634,2976.0372011293443,3642.1130963201967,5578.918094437918,30214.998609913437,7524.61007977987,2938.089555932741,1515.5275816026917,7680.640252746706,29330.79323231967,30236.639760019105,37132.27245378032
40801.83283953184,19597.15027379552,20909.196138587464,23209.303674204468,3458.323387558811,3330.397232895254,4262.195941973932,5599.0258590130425,29413.517479395283,9653.74564236495,3248.9077984463815,1703.2119663135816,8566.24842300224,28171.22412149879,24849.271995976927,42496.532387834915
37145.35677405461,14886.374847467801,23548.286517201603,20501.68599225458,3670.8171905792224,2800.85695089252,3391.8684140035284,5764.915657429853,29624.69596139299,8275.068963162037,3852.319733531003,1630.9484138805744,8378.0566432822,27799.476738029265,25490.98481056717,41738.13489636245
38575.14569844724,20001.246907878958,26341.24476358064,19888.791425819574,3857.128028175775,2655.710218044815,3187.8536380551136,6275.653470175628,31405.65957721071,8547.598196928911,4108.466837869085,1541.6225766257214,9018.108981727195,28448.269813710092,25019.72761376012,40668.10418212028
41401.51853780752,20142.62890926006,25640.724660374362,24159.89330624129,3568.095123888069,3049.11050896473,3662.212109863821,6624.524815032516,26325.24147733804,9413.279540835485,4063.918914762971,1575.747146269413,9476.009511689661,23533.94615153815,22105.95416686326,44027.44628935378
46860.07433706077,19622.218463938872,27828.322752718384,28106.40304854919,3436.167113892647,3107.1699817395406,4458.171112504897,6341.004445716822,29508.044542450738,11911.129510899034,4294.754841861921,1876.8453437677274,9981.209216642981,30180.069240985544,28266.38505890339,41466.84323462252
40884.3391444353,19217.119102249704,63734.87342152326,21227.480188107336,3174.325623405507,2975.035369216955,4158.681671788432,5694.537000072838,31986.908359854864,10158.725722477013,3695.392946300802,1509.5054006371952,8458.566951931669,27314.893110538484,25442.85549672106,35801.0448848533
35446.91247181569,14973.609558139262,20665.24229776689,23308.09275112426,3099.801051641915,2554.6070566450894,3232.0736430690044,5021.931238094092,31599.74624175675,6957.5096604893715,2684.980295193838,1423.190840947444,7235.822843873103,24211.95770971955,22851.94526644931,36201.422008450405
