기준년월,홍대,연남,이태원,익선,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
2016-10,91727,52040,85095,25014,21140,72493,74731,124518,119801,92852,74917,58462,98194,56115,26819,92676
2016-11,92410,52519,85153,25014,21140,73556,74836,124796,120328,92852,74917,58784,99315,56115,26819,92769
2016-12,92410,52519,85153,25014,21140,73594,74860,126068,120328,92852,74917,58808,99351,56190,26824,93026
2017-01,93839,52519,85207,25665,21140,73635,74878,126336,120328,92852,74917,59248,99735,56190,26824,93552
2017-02,94025,52519,85207,25665,21140,73800,75013,126435,120749,92852,74917,59200,100176,56358,26824,93854
2017-03,95393,54674,85207,25665,21140,74025,71903,126920,121769,92852,74917,59225,101035,57239,26801,94345
2017-04,95579,56003,85672,25665,21140,74789,71903,127872,122069,92852,74917,59277,102085,57253,26801,94847
2017-05,96014,56003,86179,25821,22099,82266,72632,133385,122576,92852,74917,60093,102962,57253,26939,97159
2017-06,96014,56154,88803,25821,22939,87464,73496,134464,122727,92852,74917,61299,103947,58943,26939,98735
2017-07,100799,57223,90782,25821,23055,89686,75220,139475,126093,92852,74917,62077,105276,59032,26939,101469
2017-08,102105,57717,90782,25821,23055,90496,76180,140034,126725,92852,74917,62645,106414,59038,26939,102105
2017-09,102105,58809,91181,25821,23055,91497,76354,141401,126725,92852,79167,63611,107523,59038,26988,104181
2017-10,102105,59522,92091,25821,23055,92902,77761,142448,127218,92852,79167,64856,109052,59038,27313,106335
2017-11,104653,60013,93207,25821,23055,94120,78482,143992,128001,92852,79333,65597,111989,59038,27337,108100
2017-12,110494,60341,99802,25821,23055,94953,78715,145743,130376,92852,80083,66121,112995,59380,27544,111360
2018-01,112607,60341,100201,25821,23055,97026,79730,155857,130448,92852,80083,67600,114407,59582,27568,115334
2018-02,113167,60407,104906,25821,23055,98906,79863,157235,131307,92852,80083,69735,116995,59582,27568,117463
2018-03,112963,60734,117713,25821,23055,100629,83360,160599,134216,92852,80083,71472,120302,64852,27568,124007
2018-04,113392,61053,117830,25869,23055,101326,83715,164408,135269,92852,80083,72398,121474,64852,27615,126495
2018-05,113392,64452,117830,25869,23055,101876,85369,161749,135269,92852,80083,74453,122790,64852,27748,127962
2018-06,113392,64528,118228,25888,23055,103088,85645,163266,137369,93037,80083,75620,123314,64852,27824,128934
2018-07,113514,66219,118228,25888,23055,104033,87271,164604,138924,93037,80083,78367,124579,64852,27963,129858
2018-08,116186,66609,120647,25888,23055,105659,87806,167368,142115,93037,80083,83191,128350,65678,27963,134963
2018-09,119806,67417,122601,25888,23055,106131,90309,171448,145439,93037,80083,84550,133435,65678,27963,138194
2018-10,121360,69894,122841,25888,23564,111506,91536,173301,145439,93222,80083,85641,137343,66424,28241,139645
2018-11,121360,73111,124047,25888,23564,113158,91658,173333,148485,93222,80083,85884,137812,66424,28241,140268
2018-12,121360,73188,124047,25888,23564,113326,91824,173323,148886,93222,80083,86108,138992,67846,28225,139515
2019-01,121360,76701,124209,25888,23587,113492,92008,173440,148886,93222,80083,86122,138720,68188,28225,139117
2019-02,121360,76701,122212,25888,23587,113475,92510,173617,149025,93222,80083,85588,138753,68469,28225,138581
2019-03,121360,76701,122212,25888,23587,113491,93004,173862,150169,93519,83750,85409,138749,70293,28225,138219
2019-04,121947,74462,122576,27754,23587,113910,93947,173916,149319,93519,83750,84812,138930,70717,28225,137398
