YearMonth,사용일자,total,Year,Month
201601,624963596,1579065,62496,31
201602,584646235,1446748,58464,58
201603,624969796,1788776,62496,93
201604,604812465,1775301,60480,120
201605,624975996,1863699,62496,155
201606,604818465,1707900,60480,180
201607,624982196,1636840,62496,217
201608,624985296,1572852,62496,248
201609,604827465,1571252,60480,270
201610,624991496,1856330,62496,310
201611,604833465,1866678,60480,330
201612,624997696,1830476,62496,372
201701,625273596,1461891,62527,31
201702,564766006,1526441,56476,56
201703,625279796,1800063,62527,93
201704,605112465,1733841,60510,120
201705,625285996,1687373,62527,155
201706,605118465,1602916,60510,180
201707,625292196,1546220,62527,217
201708,625295296,1571011,62527,248
201709,605127465,1662380,60510,270
201710,625301496,1648583,62527,310
201711,605133465,1734499,60510,330
201712,625307696,1650117,62527,372
201801,625583596,1483162,62558,31
201802,565046006,1315728,56504,56
201803,625589796,1690219,62558,93
201804,605412465,1693158,60540,120
201805,625595996,1768568,62558,155
201806,605418465,1576403,60540,180
201807,625602196,1527685,62558,217
201808,625605296,1490466,62558,248
201809,605427465,1515238,60540,270
201810,625611496,1778608,62558,310
201811,605433465,1701391,60540,330
201812,625617696,1502787,62558,372
201901,625893596,1414540,62589,31
201902,565326006,1225285,56532,56
201903,625899796,1574179,62589,93
201904,605712465,1654332,60570,120
201905,625905996,1681403,62589,155
201906,605718465,1474596,60570,180
201907,625912196,1527414,62589,217
201908,625915296,1510133,62589,248
201909,605727465,1473380,60570,270
201910,625921496,1811764,62589,310
201911,605733465,1733007,60570,330
201912,625927696,1649862,62589,372
202001,626203596,1399412,62620,31
202002,585806235,1049676,58580,58
202003,626209796,756755,62620,93
202004,606012465,826904,60600,120
202006,606018465,1002257,60600,180
202007,626222196,1106923,62620,217
202008,626225296,857864,62620,248
202010,626231496,1025127,62620,310
202011,606033465,1065675,60600,330
202012,626237696,719066,62620,372
202101,626513596,735578,62651,31
202102,565886006,802723,56588,56
202103,626519796,1068312,62651,93
202104,606312465,1036273,60630,120
202105,626525996,1024987,62651,155
202106,606318465,1052675,60630,180
202107,626532196,877973,62651,217
202108,626535296,853204,62651,248
