YearMonth,사용일자,total,Year,Month
201610,282254343,825692,28224,140
201611,604833465,1899657,60480,330
201612,624997696,1868410,62496,372
201701,625273596,1336580,62527,31
201702,564766006,1412221,56476,56
201703,625279796,1727017,62527,93
201704,605112465,1627640,60510,120
201705,625285996,1639881,62527,155
201706,605118465,1531270,60510,180
201707,625292196,1406536,62527,217
201708,625295296,1431349,62527,248
201709,605127465,1619737,60510,270
201710,625301496,1660544,62527,310
201711,605133465,1630793,60510,330
201712,625307696,1580101,62527,372
201801,625583596,1383214,62558,31
201802,565046006,1234606,56504,56
201803,625589796,1662521,62558,93
201804,605412465,1674730,60540,120
201805,625595996,1740039,62558,155
201806,605418465,1510372,60540,180
201807,625602196,1416883,62558,217
201808,625605296,1418006,62558,248
201809,605427465,1567050,60540,270
201810,625611496,1764262,62558,310
201811,605433465,1704253,60540,330
201812,625617696,1554456,62558,372
201901,625893596,1455246,62589,31
201902,565326006,1239484,56532,56
201903,625899796,1581994,62589,93
201904,605712465,1666872,60570,120
201905,625905996,1773838,62589,155
201906,605718465,1501790,60570,180
201907,625912196,1477419,62589,217
201908,625915296,1463389,62589,248
201909,605727465,1543063,60570,270
201910,625921496,2016949,62589,310
201911,605733465,1762995,60570,330
201912,625927696,1621758,62589,372
202001,626203596,1342010,62620,31
202002,585806235,994364,58580,58
202003,626209796,717677,62620,93
202004,606012465,798004,60600,120
202006,606018465,946179,60600,180
202007,626222196,1033907,62620,217
202008,626225296,829791,62620,248
202010,626231496,984388,62620,310
202011,606033465,1033022,60600,330
202012,626237696,718783,62620,372
202101,626513596,735129,62651,31
202102,565886006,804833,56588,56
202103,626519796,990521,62651,93
202104,606312465,1013462,60630,120
202105,626525996,1019155,62651,155
202106,606318465,1026155,60630,180
202107,626532196,882800,62651,217
202108,626535296,857988,62651,248
