YearMonth,사용일자,total,Year,Month
201601,1249927192,1848813,124992,62
201602,1169292470,1678378,116928,116
201603,1249939592,2088387,124992,186
201604,1209624930,2036841,120960,240
201605,1249951992,2078197,124992,310
201606,1209636930,2026766,120960,360
201607,1249964392,1984578,124992,434
201608,1249970592,1952974,124992,496
201609,1209654930,1869375,120960,540
201610,1249982992,2089712,124992,620
201611,1209666930,2099559,120960,660
201612,1249995392,2133648,124992,744
201701,1250547192,1938914,125054,62
201702,1129532012,1963644,112952,112
201703,1250559592,2214795,125054,186
201704,1210224930,2158103,121020,240
201705,1250571992,2104990,125054,310
201706,1210236930,2119308,121020,360
201707,1250584392,2047777,125054,434
201708,1250590592,2048637,125054,496
201709,1210254930,2212484,121020,540
201710,1250602992,1925867,125054,620
201711,1210266930,2215833,121020,660
201712,1250615392,2118426,125054,744
201801,1251167192,2139385,125116,62
201802,1130092012,1834129,113008,112
201803,1251179592,2257922,125116,186
201804,1210824930,2233779,121080,240
201805,1251191992,2290008,125116,310
201806,1210836930,2157900,121080,360
201807,1251204392,2233366,125116,434
201808,1251210592,2131269,125116,496
201809,1210854930,1982835,121080,540
201810,1251222992,2365356,125116,620
201811,1210866930,2332256,121080,660
201812,1251235392,2181805,125116,744
201901,1251787192,2284600,125178,62
201902,1130652012,1900267,113064,112
201903,1251799592,2333519,125178,186
201904,1211424930,2487611,121140,240
201905,1251811992,2525672,125178,310
201906,1211436930,2275091,121140,360
201907,1251824392,2451883,125178,434
201908,1251830592,2289688,125178,496
201909,1211454930,2194306,121140,540
201910,1251842992,2538297,125178,620
201911,1211466930,2490083,121140,660
201912,1251855392,2462160,125178,744
202001,1252407192,2276020,125240,62
202002,1171612470,2075217,117160,116
202003,1252419592,1920047,125240,186
202004,1212024930,2002421,121200,240
202006,1212036930,2181498,121200,360
202007,1252444392,2360612,125240,434
202008,1252450592,1928336,125240,496
202010,1252462992,2103740,125240,620
202011,1212066930,2176046,121200,660
202012,1252475392,1779287,125240,744
202101,1253027192,1868263,125302,62
202102,1131772012,1917707,113176,112
202103,1253039592,2402670,125302,186
202104,1212624930,2524466,121260,240
202105,1253051992,2364876,125302,310
202106,1212636930,2503792,121260,360
202107,1253064392,2216558,125302,434
202108,1253070592,2130995,125302,496
