YearMonth,사용일자,total,Year,Month
201601,1874890788,5191569,187488,93
201602,1753938705,4731175,175392,174
201603,1874909388,5486374,187488,279
201604,1814437395,5231902,181440,360
201605,1874927988,5265443,187488,465
201606,1814455395,5256077,181440,540
201607,1874946588,5347149,187488,651
201608,1874955888,5122775,187488,744
201609,1814482395,4723083,181440,810
201610,1874974488,5181068,187488,930
201611,1814500395,5190887,181440,990
201612,1874993088,5507905,187488,1116
201701,1875820788,4892921,187581,93
201702,1694298018,4951828,169428,168
201703,1875839388,5357060,187581,279
201704,1815337395,4988022,181530,360
201705,1875857988,4898905,187581,465
201706,1815355395,5024861,181530,540
201707,1875876588,5036483,187581,651
201708,1875885888,4958088,187581,744
201709,1815382395,5108092,181530,810
201710,1875904488,4480128,187581,930
201711,1815400395,5099596,181530,990
201712,1875923088,5395472,187581,1116
201801,1876750788,5165798,187674,93
201802,1695138018,4498422,169512,168
201803,1876769388,5423888,187674,279
201804,1816237395,5132676,181620,360
201805,1876787988,5170808,187674,465
201806,1816255395,5029325,181620,540
201807,1876806588,5226740,187674,651
201808,1876815888,4993969,187674,744
201809,1816282395,4660281,181620,810
201810,1876834488,5307532,187674,930
201811,1816300395,5366322,181620,990
201812,1876853088,5439731,187674,1116
201901,1877680788,5409282,187767,93
201902,1695978018,4535319,169596,168
201903,1877699388,5343076,187767,279
201904,1817137395,5284584,181710,360
201905,1877717988,5445093,187767,465
201906,1817155395,5134821,181710,540
201907,1877736588,5493958,187767,651
201908,1877745888,5240015,187767,744
201909,1817182395,4831539,181710,810
201910,1877764488,5471275,187767,930
201911,1817200395,5387347,181710,990
201912,1877783088,5647012,187767,1116
202001,1878610788,5061769,187860,93
202002,1757418705,4275050,175740,174
202003,1878629388,3440949,187860,279
202004,1818037395,3631584,181800,360
202006,1818055395,4236057,181800,540
202007,1878666588,4632458,187860,651
202008,1878675888,3850108,187860,744
202010,1878694488,4107610,187860,930
202011,1818100395,4204347,181800,990
202012,1878713088,3449379,187860,1116
202101,1879540788,3708144,187953,93
202102,1697658018,3792683,169764,168
202103,1879559388,4495905,187953,279
202104,1818937395,4391935,181890,360
202105,1879577988,4323614,187953,465
202106,1818955395,4465339,181890,540
202107,1879596588,3988901,187953,651
202108,1879605888,3795244,187953,744
