YearMonth,사용일자,total,Year,Month
201601,1249927192,1420233,124992,62
201602,1169292470,1337904,116928,116
201603,1249939592,1532432,124992,186
201604,1209624930,1538659,120960,240
201605,1249951992,1625909,124992,310
201606,1209636930,1532443,120960,360
201607,1249964392,1541353,124992,434
201608,1249970592,1523424,124992,496
201609,1209654930,1492237,120960,540
201610,1249982992,1764499,124992,620
201611,1209666930,1521205,120960,660
201612,1249995392,1722814,124992,744
201701,1250547192,1440692,125054,62
201702,1129532012,1452502,112952,112
201703,1250559592,1646276,125054,186
201704,1210224930,1598783,121020,240
201705,1250571992,1657724,125054,310
201706,1210236930,1607694,121020,360
201707,1250584392,1531866,125054,434
201708,1250590592,1540779,125054,496
201709,1210254930,1605551,121020,540
201710,1250602992,1820708,125054,620
201711,1210266930,1506995,121020,660
201712,1250615392,1746945,125054,744
201801,1251167192,1439701,125116,62
201802,1130092012,1391315,113008,112
201803,1251179592,1710857,125116,186
201804,1210824930,1573726,121080,240
201805,1251191992,1706676,125116,310
201806,1210836930,1619581,121080,360
201807,1251204392,1533069,125116,434
201808,1251210592,1485966,125116,496
201809,1210854930,1506439,121080,540
201810,1251222992,1765279,125116,620
201811,1210866930,1483213,121080,660
201812,1251235392,1618555,125116,744
201901,1251787192,1380105,125178,62
201902,1130652012,1241936,113064,112
201903,1251799592,1500845,125178,186
201904,1211424930,1397658,121140,240
201905,1251811992,1493855,125178,310
201906,1211436930,1436187,121140,360
201907,1251824392,1389469,125178,434
201908,1251830592,1439422,125178,496
201909,1211454930,1323968,121140,540
201910,1251842992,1697002,125178,620
201911,1211466930,1411753,121140,660
201912,1251855392,1535557,125178,744
202001,1252407192,1257124,125240,62
202002,1171612470,1016464,117160,116
202003,1252419592,804276,125240,186
202004,1212024930,795863,121200,240
202006,1212036930,671281,121200,360
202007,1252444392,796373,125240,434
202008,1252450592,691683,125240,496
202010,1252462992,838425,125240,620
202011,1212066930,769523,121200,660
202012,1252475392,570950,125240,744
202101,1253027192,608338,125302,62
202102,1131772012,675282,113176,112
202103,1253039592,841530,125302,186
202104,1212624930,838911,121260,240
202105,1253051992,872873,125302,310
202106,1212636930,859354,121260,360
202107,1253064392,686571,125302,434
202108,1253070592,682322,125302,496
