YearMonth,사용일자,total,Year,Month
201601,24817102798,48098524,2481696,1231
201602,23204407464,43979568,2320416,2302
201603,24978631527,51758411,2497824,3717
201604,24051375719,49124225,2405088,4772
201605,24898237250,50579536,2489760,6175
201606,24091935537,48393719,2409120,7170
201607,24878323578,49693838,2487744,8638
201608,24777642859,48037678,2477664,9832
201609,23951167573,45315081,2395008,10692
201610,25302075352,51318221,2530080,12550
201611,25342522192,53459177,2534112,13827
201612,26028129855,55750549,2602656,15492
201701,26079959957,48973076,2607981,1293
201702,23498299907,49721147,2349805,2330
201703,26039877981,55260948,2603947,3873
201704,25293701038,51624207,2529318,5016
201705,26100647692,51794579,2609998,6470
201706,25273781254,50629967,2527301,7518
201707,25979882222,50723916,2597896,9016
201708,25959840236,50152510,2595879,10296
201709,25395182621,51979867,2539403,11331
201710,26060952676,47617196,2605964,12920
201711,25334921060,52621340,2533352,13816
201712,26222580817,54268837,2622100,15600
201801,26193790613,50871888,2619364,1298
201802,23711752028,44859893,2371150,2350
201803,26153689548,54961540,2615328,3888
201804,25366782268,52292327,2536626,5028
201805,26234670805,54130927,2623400,6500
201806,25387214303,50677356,2538644,7548
201807,26134027218,52151700,2613310,9065
201808,26235060806,50283729,2623400,10400
201809,25327048920,47969308,2532590,11295
201810,26114234720,54235244,2611292,12940
201811,25367662174,53864773,2536626,13827
201812,26195218324,53905257,2619364,15576
201901,26226960707,52729423,2622681,1299
201902,23561980336,44812185,2356173,2334
201903,26166649556,53987530,2616624,3888
201904,25399542725,53249033,2539902,5032
201905,26207289770,55359799,2620662,6490
201906,25298841213,50797356,2529807,7518
201907,26207549365,53648502,2620662,9086
201908,26167297545,51693784,2616624,10368
201909,25339598967,48497844,2533845,11295
201910,26187747760,55572670,2618643,12970
201911,25238894357,53666934,2523750,13750
201912,26228389572,55383483,2622681,15588
202001,26098549826,48747030,2609840,1292
202002,24401859744,39128068,2440160,2416
202003,25896805075,30595392,2589640,3846
202004,25129316861,32543036,2512880,4976
202006,25190167530,36640045,2518940,7482
202007,26058923643,40502574,2605800,9030
202008,25958048559,33138370,2595700,10280
202010,26059310688,35910362,2605800,12900
202011,25170589875,36567842,2516920,13706
202012,25877757668,28422190,2587620,15372
202101,26010419292,29504307,2601027,1287
202102,23484269270,30796748,2348402,2324
202103,26172359189,38077143,2617195,3885
202104,25303440212,37388118,2530292,5008
202105,26152407684,37124885,2615174,6470
202106,25202637527,38233240,2520187,7482
202107,26031402212,33518669,2603048,9016
202108,26092163475,32356527,2609111,10328
